fecha,valor
01-01-24,463.4
02-01-24,463.4
03-01-24,470.66
04-01-24,472.49
05-01-24,474.33
06-01-24,476.18
07-01-24,476.18
08-01-24,476.18
09-01-24,481.76
10-01-24,483.64
11-01-24,485.52
12-01-24,487.41
13-01-24,489.31
14-01-24,489.31
15-01-24,489.31
16-01-24,495.04
17-01-24,498.68
18-01-24,502.35
19-01-24,506.05
20-01-24,509.77
21-01-24,509.77
22-01-24,509.77
23-01-24,521.1
24-01-24,524.93
25-01-24,528.79
26-01-24,532.68
27-01-24,536.59
28-01-24,536.59
29-01-24,536.59
30-01-24,548.52
31-01-24,552.55
01-02-24,556.62
02-02-24,560.71
03-02-24,564.83
04-02-24,564.83
05-02-24,564.83
06-02-24,577.39
07-02-24,581.63
08-02-24,585.91
09-02-24,590.22
10-02-24,594.56
11-02-24,594.56
12-02-24,594.56
13-02-24,594.56
14-02-24,594.56
15-02-24,616.74
16-02-24,621.28
17-02-24,625.31
18-02-24,625.31
19-02-24,625.31
20-02-24,637.54
21-02-24,641.67
22-02-24,645.83
23-02-24,650.01
24-02-24,654.23
25-02-24,654.23
26-02-24,654.23
27-02-24,667.03
28-02-24,671.35
29-02-24,675.7
01-03-24,680.08
02-03-24,684.48
03-03-24,684.48
04-03-24,684.48
05-03-24,697.88
06-03-24,702.4
07-03-24,706.95
08-03-24,711.53
09-03-24,716.14
10-03-24,716.14
11-03-24,716.14
12-03-24,730.15
13-03-24,734.88
14-03-24,739.65
15-03-24,744.44
16-03-24,749.26
17-03-24,749.26
18-03-24,749.26
19-03-24,758.31
20-03-24,761.35
21-03-24,764.4
22-03-24,767.46
23-03-24,770.54
24-03-24,770.54
25-03-24,770.54
26-03-24,779.84
27-03-24,782.96
28-03-24,786.1
29-03-24,786.1
30-03-24,786.1
31-03-24,786.1
01-04-24,786.1
02-04-24,786.1
03-04-24,786.1
04-04-24,808.42
05-04-24,811.66
06-04-24,814.91
07-04-24,814.91
08-04-24,814.91
09-04-24,824.75
10-04-24,828.05
11-04-24,831.37
12-04-24,834.7
13-04-24,838.05
14-04-24,838.05
15-04-24,838.05
16-04-24,848.17
17-04-24,851.12
18-04-24,854.09
19-04-24,857.06
20-04-24,860.05
21-04-24,860.05
22-04-24,860.05
23-04-24,869.07
24-04-24,872.1
25-04-24,875.14
26-04-24,878.19
27-04-24,881.25
28-04-24,881.25
29-04-24,881.25
30-04-24,890.49
01-05-24,893.6
02-05-24,893.6
03-05-24,899.84
04-05-24,902.97
05-05-24,902.97
06-05-24,902.97
07-05-24,912.45
08-05-24,915.62
09-05-24,918.82
10-05-24,922.02
11-05-24,925.23
12-05-24,925.23
13-05-24,925.23
14-05-24,934.94
15-05-24,938.19
16-05-24,941.46
17-05-24,944.03
18-05-24,946.6
19-05-24,946.6
20-05-24,946.6
21-05-24,954.36
22-05-24,956.96
23-05-24,959.57
24-05-24,962.18
25-05-24,964.8
26-05-24,964.8
27-05-24,964.8
28-05-24,972.71
29-05-24,975.36
30-05-24,978.02
31-05-24,980.68
01-06-24,983.35
02-06-24,983.35
03-06-24,983.35
04-06-24,991.41
05-06-24,994.11
06-06-24,996.82
07-06-24,999.54
